city,lat,lon,max temp,humidity,cloudiness,wind speed,date
Beringovskiy,63.05,179.32,52.23,51,1,5.64,1591750658
Baruun-Urt,46.68,113.28,65.71,30,0,14.16,1591750658
Norwich,52.63,1.3,46.0,81,100,4.7,1591750368
Ous,60.91,61.52,68.27,52,0,5.57,1591750658
São José da Coroa Grande,-8.9,-35.15,76.19,86,0,5.08,1591750658
Béoumi,7.67,-5.58,68.0,100,20,6.93,1591750658
Takaungu,-3.68,39.86,75.61,84,15,10.98,1591750659
Margate,51.38,1.39,55.99,72,100,1.99,1591750659
Babu,24.42,111.52,79.61,84,100,2.71,1591750659
Evensk,61.95,159.23,51.84,56,100,8.48,1591750659
Great Yarmouth,52.61,1.73,51.01,98,100,7.23,1591750659
Kruisfontein,-34.0,24.73,59.9,44,86,4.05,1591750659
La Romana,18.43,-68.97,80.6,88,75,4.7,1591750659
Batemans Bay,-35.72,150.18,60.01,85,100,3.09,1591750659
Esim,4.87,-2.24,78.57,85,100,9.89,1591750659
Coari,-4.08,-63.14,76.14,81,0,1.32,1591750660
Coffs Harbour,-30.3,153.13,64.4,88,75,16.11,1591750660
Smithers,54.78,-127.17,62.6,45,75,11.41,1591750412
Zhangjiakou,40.81,114.88,71.06,43,0,5.5,1591750660
Beipiao,41.79,120.78,63.73,81,100,8.43,1591750660
Thames,-37.13,175.53,61.0,84,0,1.99,1591750660
Dano,11.15,-3.07,75.9,73,96,7.94,1591750660
Romitan,39.93,64.38,64.4,36,0,6.93,1591750660
Maţāy,28.42,30.78,74.82,45,0,7.4,1591750661
Yulara,-25.24,130.99,53.6,37,0,6.93,1591750661
Fort Nelson,58.81,-122.7,60.8,55,75,8.05,1591750446
Shar,49.59,81.05,59.16,60,0,13.35,1591750661
Limoncito,-18.02,-63.4,77.0,83,20,9.17,1591750661
Wilmington,34.23,-77.94,78.8,69,40,11.41,1591750381
Berlevåg,70.86,29.09,41.47,69,30,15.39,1591750661
Safi,32.3,-9.24,66.06,76,56,13.0,1591750504
Gijang,35.24,129.21,82.4,48,28,4.7,1591750507
Altay,47.87,88.12,60.53,52,7,2.55,1591750662
Kaihua,23.37,104.28,71.24,86,99,4.63,1591750662
Lieksa,63.32,30.02,56.77,76,100,8.75,1591750662
Paramonga,-10.67,-77.83,62.78,84,13,4.43,1591750442
Bonthe,7.53,-12.51,78.66,86,100,6.04,1591750663
Atar,20.52,-13.05,81.9,60,100,17.05,1591750663
Bagotville,-28.98,153.42,66.2,88,87,9.17,1591750663
Lompoc,34.64,-120.46,78.8,29,20,10.29,1591750663
Yurino,56.29,46.3,57.2,100,1,4.47,1591750663
Andros Town,24.7,-77.77,84.2,74,75,8.05,1591750663
Alta Floresta,-9.88,-56.09,73.06,71,7,2.08,1591750663
Balabac,7.99,117.06,85.59,65,100,0.89,1591750664
Zhigansk,66.77,123.37,41.92,64,100,21.07,1591750664
Luangwa,-15.62,30.42,57.04,77,0,2.1,1591750664
Ørnes,66.87,13.71,41.0,86,7,4.7,1591750664
Biak,-0.91,122.88,77.41,83,100,7.54,1591750664
Polunochnoye,60.87,60.42,66.36,56,0,4.14,1591750664
Narrabri,-30.32,149.78,66.99,63,75,5.82,1591750644
Kasama,-10.21,31.18,50.58,87,77,3.06,1591750664
Kambove,-10.88,26.6,52.95,69,5,4.59,1591750665
Anori,-3.77,-61.64,76.08,83,0,1.48,1591750665
Polokwane,-23.9,29.47,44.6,75,0,2.24,1591750665
Mizdah,31.45,12.98,70.59,51,86,12.33,1591750665
Opelika,32.65,-85.38,75.2,88,20,6.93,1591750665
Urengoy,65.97,78.37,59.36,62,100,8.01,1591750665
Dakoro,14.51,6.76,89.11,47,100,17.63,1591750665
Morristown,36.21,-83.29,82.4,65,20,6.93,1591750427
Indiana,40.0,-86.25,80.6,100,75,19.46,1591750666
Kota,25.18,75.83,88.48,48,0,11.03,1591750666
Talnakh,69.49,88.4,44.6,93,75,15.66,1591750666
Chāndur,19.73,79.18,87.33,53,83,6.55,1591750666
Antofagasta,-23.65,-70.4,59.0,87,90,9.17,1591750551
Klamath Falls,42.22,-121.78,73.4,28,20,11.41,1591750371
Virginia Beach,36.85,-75.98,82.99,69,20,8.05,1591749872
Nome,64.5,-165.41,51.8,53,90,6.93,1591750666
Miramar,25.99,-80.23,84.99,70,1,6.93,1591750667
Nanortalik,60.14,-45.24,45.21,76,100,19.35,1591750667
Maceió,-9.67,-35.74,75.2,88,75,1.12,1591750560
Yertsevo,60.8,40.09,60.94,97,78,5.97,1591750667
Mandan,46.83,-100.89,66.2,59,75,19.46,1591750667
Nivala,63.92,24.97,39.99,78,0,1.99,1591750668
Tezu,27.92,96.17,85.69,52,0,0.85,1591750668
Karaton,-6.34,106.1,80.6,83,20,3.36,1591750668
Sibu,2.3,111.82,77.0,88,75,6.93,1591750668
Tabuk,17.42,121.44,83.43,72,100,4.79,1591750668
Oistins,13.07,-59.53,80.6,78,40,11.41,1591750668
Malanje,-9.54,16.34,58.8,94,17,3.06,1591750668
Bitkine,11.98,18.21,87.64,45,92,13.51,1591750668
Mulegé,26.88,-111.98,82.8,34,0,8.39,1591750669
Praia,14.92,-23.51,77.0,83,20,10.29,1591750669
Dawlatabad,36.41,64.91,71.56,22,0,1.99,1591750669
Bāgeshwar,29.85,79.77,74.19,60,29,1.39,1591750669
Orlik,52.52,99.83,46.33,55,100,3.56,1591750669
Kapuskasing,49.42,-82.43,62.6,63,40,12.75,1591750450
Lindi,-10.0,39.72,71.6,88,20,5.82,1591750669
Tomislavgrad,43.72,17.23,51.24,89,83,2.33,1591750669
Acajutla,13.59,-89.83,75.0,100,33,4.0,1591750581
Rosetta,31.4,30.42,71.6,73,0,2.24,1591750670
Daura,11.55,11.41,77.58,64,98,17.67,1591750670
Carutapera,-1.2,-46.02,75.76,93,99,4.23,1591750670
Leh,34.17,77.58,49.05,49,0,5.53,1591750670
Moerai,-22.43,-151.33,73.29,69,4,8.63,1591750670
Ássiros,40.82,23.03,70.0,74,68,2.44,1591750670
Yerbogachën,61.28,108.01,53.85,60,18,6.91,1591750571
Scarborough,54.28,-0.4,51.01,80,100,1.01,1591750670
Suba,10.84,121.01,85.14,68,92,4.63,1591750671
Toora-Khem,52.47,96.11,46.78,77,94,1.7,1591750671
Sandnessjøen,66.02,12.63,46.4,87,0,5.82,1591750671
Upata,8.01,-62.4,81.0,80,25,3.0,1591750400
Doha,25.29,51.53,87.8,52,0,3.36,1591750671
Bandarbeyla,9.49,50.81,83.28,65,0,24.0,1591750671
Colomi,-17.35,-65.87,64.4,34,56,3.36,1591750671
Porto-Novo,6.5,2.6,80.6,83,40,5.82,1591750446
San José del Guaviare,2.57,-72.65,76.32,78,22,0.92,1591750672
Saint-Leu,-21.15,55.28,66.2,63,2,12.75,1591750672
Kahului,20.89,-156.47,89.6,46,20,20.8,1591750672
Fairbanks,64.84,-147.72,68.0,51,90,6.93,1591750672
Goroka,-6.08,145.39,75.45,57,100,1.59,1591750672
Shitanjing,39.23,106.34,70.34,25,0,4.94,1591750672
Hong Kong,22.29,114.16,86.0,74,20,9.17,1591750464
Piney Green,34.72,-77.32,78.8,65,75,9.17,1591750673
Kerema,-7.96,145.78,82.87,74,27,4.94,1591750673
Wajima,37.4,136.9,82.4,48,20,5.82,1591750673
Farmington,36.73,-108.22,72.0,11,1,25.28,1591750673
Boa Vista,2.82,-60.67,75.2,88,75,5.82,1591750673
Araouane,18.9,-3.53,97.63,23,32,20.42,1591750673
Puerto Colombia,10.99,-74.95,71.6,94,75,5.82,1591750446
Tautira,-17.73,-149.15,84.2,62,20,6.93,1591750674
Mnogovershinnyy,53.94,139.92,52.32,93,86,2.21,1591750674
Gigmoto,13.78,124.39,81.86,83,100,10.58,1591750674
Pingzhuang,42.04,119.29,71.85,52,99,10.04,1591750674
Keminmaa,65.86,24.82,39.2,100,18,5.82,1591750674
Kaeo,-35.1,173.78,61.0,3,70,7.0,1591750674
Longyearbyen,78.22,15.64,39.2,69,75,6.93,1591750674
Rehoboth,-23.32,17.08,52.56,49,0,10.22,1591750674
Havelock,34.88,-76.9,80.6,61,1,9.17,1591750588
